Volgorde;group_straatadvertenties/Foto_advertentie;Link Sciensano Server;group_straatadvertenties/Foto_advertentie_URL;Record_your_current_location;lat;lon;group_straatadvertenties/_Record_your_current_location_latitude;group_straatadvertenties/_Record_your_current_location_longitude;group_straatadvertenties/_Record_your_current_location_altitude;group_straatadvertenties/_Record_your_current_location_precision;_index;_parent_table_name;_parent_index;_submission__id;_submission__uuid;_submission__submission_time;_submission__validation_status;_submission__notes;_submission__status;_submission__submitted_by;_submission__tags;Type advertentie;public transport (Y/N);Promo char;Desc promo char;Premium offers;Desc premium offer;Nr food;Naam voedingsmiddel;Merk voedingsmiddel;Category (WHO);UPF;Gezond leven voedingscategorie;Gezond leven voorkeursindeling;Opmerkingen
21;1656942026804.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1656942026804.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2Fe10e3bb0-757e-49eb-903d-997fcad0ac4a%2F1656942026804.jpg;50.9309834 4.4227833 73.4 1.683;509.309.834;44.227.833;509.309.834;44.227.833;73.4;1.683;14;Voedingsadvertenties;1;167636204;e10e3bb0-757e-49eb-903d-997fcad0ac4a;2022-07-04T14:10:53;;;submitted_via_web;vincentsmets;;4;N;11;Fresh & tasty sandwich;;;1;Belegde broodjes;;9;4;ND;;
22;1656942026804.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1656942026804.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2Fe10e3bb0-757e-49eb-903d-997fcad0ac4a%2F1656942026804.jpg;50.9309834 4.4227833 73.4 1.683;509.309.834;44.227.833;509.309.834;44.227.833;73.4;1.683;14;Voedingsadvertenties;1;167636204;e10e3bb0-757e-49eb-903d-997fcad0ac4a;2022-07-04T14:10:53;;;submitted_via_web;vincentsmets;;4;N;;;;;2;;Coca-cola;4d;4;1;E;
23;1656942026804.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1656942026804.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2Fe10e3bb0-757e-49eb-903d-997fcad0ac4a%2F1656942026804.jpg;50.9309834 4.4227833 73.4 1.683;509.309.834;44.227.833;509.309.834;44.227.833;73.4;1.683;14;Voedingsadvertenties;1;167636204;e10e3bb0-757e-49eb-903d-997fcad0ac4a;2022-07-04T14:10:53;;;submitted_via_web;vincentsmets;;4;N;;;;;3;;Ola;5;4;13;E;
24;1656942300773.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1656942300773.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2Fe10e3bb0-757e-49eb-903d-997fcad0ac4a%2F1656942300773.jpg;50.9312581 4.4232428 69.9 1.6;509.312.581;44.232.428;509.312.581;44.232.428;69.9;1.6;15;Voedingsadvertenties;1;167636204;e10e3bb0-757e-49eb-903d-997fcad0ac4a;2022-07-04T14:10:53;;;submitted_via_web;vincentsmets;;9;N;;;;;;XTRA;Cristal;A;5;A;;
25;1656942337804.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1656942337804.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2Fe10e3bb0-757e-49eb-903d-997fcad0ac4a%2F1656942337804.jpg;50.9313237 4.4235528 75.9 1.56;509.313.237;44.235.528;509.313.237;44.235.528;75.9;1.56;16;Voedingsadvertenties;1;167636204;e10e3bb0-757e-49eb-903d-997fcad0ac4a;2022-07-04T14:10:53;;;submitted_via_web;vincentsmets;;6;N;11;Hier echte belgische friet;;;;Friet;;16;4;4;E;
26;1656942384283.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1656942384283.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2Fe10e3bb0-757e-49eb-903d-997fcad0ac4a%2F1656942384283.jpg;50.931282 4.4232504 72.69999999999999 1.56;50.931.282;44.232.504;50.931.282;44.232.504;7.269.999.999.999.990;1.56;17;Voedingsadvertenties;1;167636204;e10e3bb0-757e-49eb-903d-997fcad0ac4a;2022-07-04T14:10:53;;;submitted_via_web;vincentsmets;;9;N;;;;;;;Maes;A;5;A;;
27;1656942399739.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1656942399739.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2Fe10e3bb0-757e-49eb-903d-997fcad0ac4a%2F1656942399739.jpg;50.9313024 4.4232264 69.1 2.033;509.313.024;44.232.264;509.313.024;44.232.264;69.1;2.033;18;Voedingsadvertenties;1;167636204;e10e3bb0-757e-49eb-903d-997fcad0ac4a;2022-07-04T14:10:53;;;submitted_via_web;vincentsmets;;1;N;;;1, 2;Stem op favoriete terras via app, win 100.000 euro;;;Lipton;4d;4;1;E;
28;1656942411398.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1656942411398.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2Fe10e3bb0-757e-49eb-903d-997fcad0ac4a%2F1656942411398.jpg;50.9313033 4.42323 69.1 2.26;509.313.033;442.323;509.313.033;442.323;69.1;2.26;19;Voedingsadvertenties;1;167636204;e10e3bb0-757e-49eb-903d-997fcad0ac4a;2022-07-04T14:10:53;;;submitted_via_web;vincentsmets;;1;N;;;1, 2;Stem op favoriete terras via app, win 100.000 euro;;;Lipton;4d;4;1;E;
29;1656942492280.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1656942492280.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2Fe10e3bb0-757e-49eb-903d-997fcad0ac4a%2F1656942492280.jpg;50.9315964 4.4236547 71.9 1.9;509.315.964;44.236.547;509.315.964;44.236.547;71.9;1.9;20;Voedingsadvertenties;1;167636204;e10e3bb0-757e-49eb-903d-997fcad0ac4a;2022-07-04T14:10:53;;;submitted_via_web;vincentsmets;;9;N;;;;;1;;Stella artois;A;5;A;;
30;1656942492280.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1656942492280.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2Fe10e3bb0-757e-49eb-903d-997fcad0ac4a%2F1656942492280.jpg;50.9315964 4.4236547 71.9 1.9;509.315.964;44.236.547;509.315.964;44.236.547;71.9;1.9;20;Voedingsadvertenties;1;167636204;e10e3bb0-757e-49eb-903d-997fcad0ac4a;2022-07-04T14:10:53;;;submitted_via_web;vincentsmets;;9;N;;;;;2;;Blanche de Bruges;A;5;A;;
