Volgorde;group_straatadvertenties/Foto_advertentie;Link Sciensano Server;group_straatadvertenties/Foto_advertentie_URL;Record_your_current_location;lat;lon;group_straatadvertenties/_Record_your_current_location_latitude;group_straatadvertenties/_Record_your_current_location_longitude;group_straatadvertenties/_Record_your_current_location_altitude;group_straatadvertenties/_Record_your_current_location_precision;_index;_parent_table_name;_parent_index;_submission__id;_submission__uuid;_submission__submission_time;_submission__validation_status;_submission__notes;_submission__status;_submission__submitted_by;_submission__tags;Type advertentie;public transport (Y/N);Promo char;Desc promo char;Premium offers;Desc premium offer;Nr food;Naam voedingsmiddel;Merk voedingsmiddel;Category (WHO);UPF;Gezond leven voedingscategorie;Gezond leven voorkeursindeling;Opmerkingen
3071;1663071305934.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_10_03\all_voedingsadvertenties_03102022\1663071305934.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F003e8dcd-b418-4d65-a9a5-31c04ad51865%2F1663071305934.jpg;51.2154537 4.4092986 66.0 3.9;512.154.537;44.092.986;512.154.537;44.092.986;66;3.9;1954;Voedingsadvertenties;108;185061712;003e8dcd-b418-4d65-a9a5-31c04ad51865;2022-09-16T12:52:32;;;submitted_via_web;vincentsmets;;9;N;;;;;;;Vedett;A;5;A;;
3072;1663071357845.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_10_03\all_voedingsadvertenties_03102022\1663071357845.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F003e8dcd-b418-4d65-a9a5-31c04ad51865%2F1663071357845.jpg;51.2153417 4.4091131 60.199999999999996 3.9;512.153.417;44.091.131;512.153.417;44.091.131;60.199.999.999.999.900;3.9;1955;Voedingsadvertenties;108;185061712;003e8dcd-b418-4d65-a9a5-31c04ad51865;2022-09-16T12:52:32;;;submitted_via_web;vincentsmets;;7;N;;;;;1;;Den antigoon;NA;;NA;;
3073;1663071357845.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_10_03\all_voedingsadvertenties_03102022\1663071357845.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F003e8dcd-b418-4d65-a9a5-31c04ad51865%2F1663071357845.jpg;51.2153417 4.4091131 60.199999999999996 3.9;512.153.417;44.091.131;512.153.417;44.091.131;60.199.999.999.999.900;3.9;1955;Voedingsadvertenties;108;185061712;003e8dcd-b418-4d65-a9a5-31c04ad51865;2022-09-16T12:52:32;;;submitted_via_web;vincentsmets;;9;N;;;;;2;;Omer;A;5;A;;
3074;1663071616621.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_10_03\all_voedingsadvertenties_03102022\1663071616621.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F003e8dcd-b418-4d65-a9a5-31c04ad51865%2F1663071616621.jpg;51.2160018 4.4066826 45.199999999999996 3.9;512.160.018;44.066.826;512.160.018;44.066.826;45.199.999.999.999.900;3.9;1956;Voedingsadvertenties;108;185061712;003e8dcd-b418-4d65-a9a5-31c04ad51865;2022-09-16T12:52:32;;;submitted_via_web;vincentsmets;;9;N;;;;;;;Duvel;A;5;A;;
3075;1663071635387.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_10_03\all_voedingsadvertenties_03102022\1663071635387.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F003e8dcd-b418-4d65-a9a5-31c04ad51865%2F1663071635387.jpg;51.2160867 4.4067063 54.3 3.9;512.160.867;44.067.063;512.160.867;44.067.063;54.3;3.9;1957;Voedingsadvertenties;108;185061712;003e8dcd-b418-4d65-a9a5-31c04ad51865;2022-09-16T12:52:32;;;submitted_via_web;vincentsmets;;9;N;;;;;;;Duvel;A;5;A;;
3076;1663072056911.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_10_03\all_voedingsadvertenties_03102022\1663072056911.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F003e8dcd-b418-4d65-a9a5-31c04ad51865%2F1663072056911.jpg;51.2175395 4.4041854 58.9 3.683;512.175.395;44.041.854;512.175.395;44.041.854;58.9;3.683;1958;Voedingsadvertenties;108;185061712;003e8dcd-b418-4d65-a9a5-31c04ad51865;2022-09-16T12:52:32;;;submitted_via_web;vincentsmets;;1;N;;;;;;Chocolade;Pierre Marcolini;1;4;13;E;
3077;1663072072555.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_10_03\all_voedingsadvertenties_03102022\1663072072555.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F003e8dcd-b418-4d65-a9a5-31c04ad51865%2F1663072072555.jpg;51.2175493 4.4043884 59.3 3.9;512.175.493;44.043.884;512.175.493;44.043.884;59.3;3.9;1959;Voedingsadvertenties;108;185061712;003e8dcd-b418-4d65-a9a5-31c04ad51865;2022-09-16T12:52:32;;;submitted_via_web;vincentsmets;;4;N;1;3 kleuren truffels;;;;Truffels;Pierre Marcolini;1;4;13;E;
3078;1663072087485.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_10_03\all_voedingsadvertenties_03102022\1663072087485.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F003e8dcd-b418-4d65-a9a5-31c04ad51865%2F1663072087485.jpg;51.217571 4.4040537 55.4 3.9;51.217.571;44.040.537;51.217.571;44.040.537;55.4;3.9;1960;Voedingsadvertenties;108;185061712;003e8dcd-b418-4d65-a9a5-31c04ad51865;2022-09-16T12:52:32;;;submitted_via_web;vincentsmets;;1;N;;;;;;Chocolade;Pierre Marcolini;1;4;13;E;
3079;1663072100964.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_10_03\all_voedingsadvertenties_03102022\1663072100964.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F003e8dcd-b418-4d65-a9a5-31c04ad51865%2F1663072100964.jpg;51.2175243 4.404079 58.0 3.966;512.175.243;4.404.079;512.175.243;4.404.079;58;3.966;1961;Voedingsadvertenties;108;185061712;003e8dcd-b418-4d65-a9a5-31c04ad51865;2022-09-16T12:52:32;;;submitted_via_web;vincentsmets;;4;N;;;;;;Pralines;Neuhaus;1;4;13;E;
3080;1663072115545.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_10_03\all_voedingsadvertenties_03102022\1663072115545.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F003e8dcd-b418-4d65-a9a5-31c04ad51865%2F1663072115545.jpg;51.2175185 4.4040712 54.8 3.9;512.175.185;44.040.712;512.175.185;44.040.712;54.8;3.9;1962;Voedingsadvertenties;108;185061712;003e8dcd-b418-4d65-a9a5-31c04ad51865;2022-09-16T12:52:32;;;submitted_via_web;vincentsmets;;4;N;11;Packed in a planet friendly box;;;;Pralines;Neuhaus;1;4;13;E;
3081;1663072224692.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_10_03\all_voedingsadvertenties_03102022\1663072224692.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F003e8dcd-b418-4d65-a9a5-31c04ad51865%2F1663072224692.jpg;51.2171384 4.404156 58.0 4.216;512.171.384;4.404.156;512.171.384;4.404.156;58;4.216;1963;Voedingsadvertenties;108;185061712;003e8dcd-b418-4d65-a9a5-31c04ad51865;2022-09-16T12:52:32;;;submitted_via_web;vincentsmets;;6;N;;;;;;Belgisch wit-blauw;;13;1;12;D;
3082;1663072313013.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_10_03\all_voedingsadvertenties_03102022\1663072313013.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F003e8dcd-b418-4d65-a9a5-31c04ad51865%2F1663072313013.jpg;51.2167192 4.4045638 60.199999999999996 4.483;512.167.192;44.045.638;512.167.192;44.045.638;60.199.999.999.999.900;4.483;1964;Voedingsadvertenties;108;185061712;003e8dcd-b418-4d65-a9a5-31c04ad51865;2022-09-16T12:52:32;;;submitted_via_web;vincentsmets;;6;N;;;5;Limited edition;;Chili con queso;Frites Atelier;ND;;ND;;
3083;1663072330219.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_10_03\all_voedingsadvertenties_03102022\1663072330219.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F003e8dcd-b418-4d65-a9a5-31c04ad51865%2F1663072330219.jpg;51.2166532 4.4044861 63.4 3.816;512.166.532;44.044.861;512.166.532;44.044.861;63.4;3.816;1965;Voedingsadvertenties;108;185061712;003e8dcd-b418-4d65-a9a5-31c04ad51865;2022-09-16T12:52:32;;;submitted_via_web;vincentsmets;;6;N;;;;;;Kimchi, truffle & cheese;Frites Atelier;ND;;ND;;
3084;1663072344207.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_10_03\all_voedingsadvertenties_03102022\1663072344207.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F003e8dcd-b418-4d65-a9a5-31c04ad51865%2F1663072344207.jpg;51.2167276 4.4043584 58.199999999999996 4.466;512.167.276;44.043.584;512.167.276;44.043.584;58.199.999.999.999.900;4.466;1966;Voedingsadvertenties;108;185061712;003e8dcd-b418-4d65-a9a5-31c04ad51865;2022-09-16T12:52:32;;;submitted_via_web;vincentsmets;;6;N;;;;;;Kroketten, burgers, friet, saus;Frites Atelier;9;4;ND;;
3085;1663072360909.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_10_03\all_voedingsadvertenties_03102022\1663072360909.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F003e8dcd-b418-4d65-a9a5-31c04ad51865%2F1663072360909.jpg;51.2166914 4.4042292 63.3 4.983;512.166.914;44.042.292;512.166.914;44.042.292;63.3;4.983;1967;Voedingsadvertenties;108;185061712;003e8dcd-b418-4d65-a9a5-31c04ad51865;2022-09-16T12:52:32;;;submitted_via_web;vincentsmets;;6;N;;;;;;Fish burger;Frites Atelier;14;4;11;C;
3086;1663072412669.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_10_03\all_voedingsadvertenties_03102022\1663072412669.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F003e8dcd-b418-4d65-a9a5-31c04ad51865%2F1663072412669.jpg;51.2163157 4.4045632 70.69999999999999 4.833;512.163.157;44.045.632;512.163.157;44.045.632;7.069.999.999.999.990;4.833;1968;Voedingsadvertenties;108;185061712;003e8dcd-b418-4d65-a9a5-31c04ad51865;2022-09-16T12:52:32;;;submitted_via_web;vincentsmets;;4;N;;;;;;Koekjesijs;Philips bescuit;5;4;13;E;
3087;1663072428226.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_10_03\all_voedingsadvertenties_03102022\1663072428226.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F003e8dcd-b418-4d65-a9a5-31c04ad51865%2F1663072428226.jpg;51.2164284 4.4043629 67.0 3.783;512.164.284;44.043.629;512.164.284;44.043.629;67;3.783;1969;Voedingsadvertenties;108;185061712;003e8dcd-b418-4d65-a9a5-31c04ad51865;2022-09-16T12:52:32;;;submitted_via_web;vincentsmets;;4;N;;;;;;Koekjesijs;Philips bescuit;5;4;13;E;
3088;1663072494073.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_10_03\all_voedingsadvertenties_03102022\1663072494073.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F003e8dcd-b418-4d65-a9a5-31c04ad51865%2F1663072494073.jpg;51.2163109 4.4050101 55.8 3.516;512.163.109;44.050.101;512.163.109;44.050.101;55.8;3.516;1970;Voedingsadvertenties;108;185061712;003e8dcd-b418-4d65-a9a5-31c04ad51865;2022-09-16T12:52:32;;;submitted_via_web;vincentsmets;;9;N;;;;;;;Duvel;A;5;A;;
3089;1663072899707.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_10_03\all_voedingsadvertenties_03102022\1663072899707.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F003e8dcd-b418-4d65-a9a5-31c04ad51865%2F1663072899707.jpg;51.2153505 4.4093062 55.8 3.916;512.153.505;44.093.062;512.153.505;44.093.062;55.8;3.916;1971;Voedingsadvertenties;108;185061712;003e8dcd-b418-4d65-a9a5-31c04ad51865;2022-09-16T12:52:32;;;submitted_via_web;vincentsmets;;7;N;;;;;1;;Balls & glory;NA;;NA;;
3090;1663072899707.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_10_03\all_voedingsadvertenties_03102022\1663072899707.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F003e8dcd-b418-4d65-a9a5-31c04ad51865%2F1663072899707.jpg;51.2153505 4.4093062 55.8 3.916;512.153.505;44.093.062;512.153.505;44.093.062;55.8;3.916;1971;Voedingsadvertenties;108;185061712;003e8dcd-b418-4d65-a9a5-31c04ad51865;2022-09-16T12:52:32;;;submitted_via_web;vincentsmets;;9;N;;;;;2;;Vedett;A;5;A;;
3091;1663072926188.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_10_03\all_voedingsadvertenties_03102022\1663072926188.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F003e8dcd-b418-4d65-a9a5-31c04ad51865%2F1663072926188.jpg;51.2154012 4.4094162 62.9 4.283;512.154.012;44.094.162;512.154.012;44.094.162;62.9;4.283;1972;Voedingsadvertenties;108;185061712;003e8dcd-b418-4d65-a9a5-31c04ad51865;2022-09-16T12:52:32;;;submitted_via_web;vincentsmets;;6;N;;;;;;;Balls & glory;9;4;13;E;
3092;1663072939560.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_10_03\all_voedingsadvertenties_03102022\1663072939560.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F003e8dcd-b418-4d65-a9a5-31c04ad51865%2F1663072939560.jpg;51.2153196 4.4092916 62.599999999999994 3.9;512.153.196;44.092.916;512.153.196;44.092.916;62.599.999.999.999.900;3.9;1973;Voedingsadvertenties;108;185061712;003e8dcd-b418-4d65-a9a5-31c04ad51865;2022-09-16T12:52:32;;;submitted_via_web;vincentsmets;;6;N;;;;;;;Balls & glory;9;4;13;E;
3093;1663072951333.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_10_03\all_voedingsadvertenties_03102022\1663072951333.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F003e8dcd-b418-4d65-a9a5-31c04ad51865%2F1663072951333.jpg;51.2152638 4.4093885 62.0 3.833;512.152.638;44.093.885;512.152.638;44.093.885;62;3.833;1974;Voedingsadvertenties;108;185061712;003e8dcd-b418-4d65-a9a5-31c04ad51865;2022-09-16T12:52:32;;;submitted_via_web;vincentsmets;;9;N;;;;;1;Cava;Balls & glory;A;5;A;;
3094;1663072951333.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_10_03\all_voedingsadvertenties_03102022\1663072951333.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F003e8dcd-b418-4d65-a9a5-31c04ad51865%2F1663072951333.jpg;51.2152638 4.4093885 62.0 3.833;512.152.638;44.093.885;512.152.638;44.093.885;62;3.833;1974;Voedingsadvertenties;108;185061712;003e8dcd-b418-4d65-a9a5-31c04ad51865;2022-09-16T12:52:32;;;submitted_via_web;vincentsmets;;6;N;;;;;2;Apero  ;Balls & glory;9;4;13;E;
3095;1663072962898.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_10_03\all_voedingsadvertenties_03102022\1663072962898.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F003e8dcd-b418-4d65-a9a5-31c04ad51865%2F1663072962898.jpg;51.2152664 4.4093205 61.0 3.85;512.152.664;44.093.205;512.152.664;44.093.205;61;3.85;1975;Voedingsadvertenties;108;185061712;003e8dcd-b418-4d65-a9a5-31c04ad51865;2022-09-16T12:52:32;;;submitted_via_web;vincentsmets;;6;N;1;Vrouw met bal als gezicht;;;;;Balls & glory;9;4;13;E;
3096;1663073035506.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_10_03\all_voedingsadvertenties_03102022\1663073035506.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F003e8dcd-b418-4d65-a9a5-31c04ad51865%2F1663073035506.jpg;51.2151293 4.4092284 58.0 4.266;512.151.293;44.092.284;512.151.293;44.092.284;58;4.266;1976;Voedingsadvertenties;108;185061712;003e8dcd-b418-4d65-a9a5-31c04ad51865;2022-09-16T12:52:32;;;submitted_via_web;vincentsmets;;9;N;;;;;;;Omer;A;5;A;;
3097;1663073049955.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_10_03\all_voedingsadvertenties_03102022\1663073049955.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F003e8dcd-b418-4d65-a9a5-31c04ad51865%2F1663073049955.jpg;51.2151911 4.4091433 56.8 4.925;512.151.911;44.091.433;512.151.911;44.091.433;56.8;4.925;1977;Voedingsadvertenties;108;185061712;003e8dcd-b418-4d65-a9a5-31c04ad51865;2022-09-16T12:52:32;;;submitted_via_web;vincentsmets;;9;N;;;;;1;;Omer;A;5;A;;
3098;1663073049955.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_10_03\all_voedingsadvertenties_03102022\1663073049955.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F003e8dcd-b418-4d65-a9a5-31c04ad51865%2F1663073049955.jpg;51.2151911 4.4091433 56.8 4.925;512.151.911;44.091.433;512.151.911;44.091.433;56.8;4.925;1977;Voedingsadvertenties;108;185061712;003e8dcd-b418-4d65-a9a5-31c04ad51865;2022-09-16T12:52:32;;;submitted_via_web;vincentsmets;;6;N;;;;;2;Desserts;Den antigoon;1;4;13;E;
3099;1663073073282.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_10_03\all_voedingsadvertenties_03102022\1663073073282.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F003e8dcd-b418-4d65-a9a5-31c04ad51865%2F1663073073282.jpg;51.2148076 4.4095125 80.3 4.216;512.148.076;44.095.125;512.148.076;44.095.125;80.3;4.216;1978;Voedingsadvertenties;108;185061712;003e8dcd-b418-4d65-a9a5-31c04ad51865;2022-09-16T12:52:32;;;submitted_via_web;vincentsmets;;9;N;;;;;;;Stella artois;A;5;A;;
3100;1663073097747.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_10_03\all_voedingsadvertenties_03102022\1663073097747.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F003e8dcd-b418-4d65-a9a5-31c04ad51865%2F1663073097747.jpg;51.2148245 4.4093784 89.3 4.35;512.148.245;44.093.784;512.148.245;44.093.784;89.3;4.35;1979;Voedingsadvertenties;108;185061712;003e8dcd-b418-4d65-a9a5-31c04ad51865;2022-09-16T12:52:32;;;submitted_via_web;vincentsmets;;9;N;;;;;;;Stella artois;A;5;A;;
3101;1663326731426.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_10_03\all_voedingsadvertenties_03102022\1663326731426.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F8c0cc97e-1767-4531-966e-0f39cb6e2621%2F1663326731426.jpg;51.2046384 2.9041165 39.9 1.88;512.046.384;29.041.165;512.046.384;29.041.165;39.9;1.88;1980;Voedingsadvertenties;109;185107831;8c0cc97e-1767-4531-966e-0f39cb6e2621;2022-09-16T14:39:56;;;submitted_via_web;vincentsmets;;4;N;;;;;;Banaan;Delhaize;15;1;3;A;
3102;1663326747577.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_10_03\all_voedingsadvertenties_03102022\1663326747577.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F8c0cc97e-1767-4531-966e-0f39cb6e2621%2F1663326747577.jpg;51.2046174 2.9040741 38.900000000000006 2.266;512.046.174;29.040.741;512.046.174;29.040.741;38.900.000.000.000.000;2.266;1981;Voedingsadvertenties;109;185107831;8c0cc97e-1767-4531-966e-0f39cb6e2621;2022-09-16T14:39:56;;;submitted_via_web;vincentsmets;;4;N;;;;;;Petit Beurre;Delhaize;2;4;13;E;
3103;1663326760021.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_10_03\all_voedingsadvertenties_03102022\1663326760021.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F8c0cc97e-1767-4531-966e-0f39cb6e2621%2F1663326760021.jpg;51.2046233 2.904045 38.1 2.44;512.046.233;2.904.045;512.046.233;2.904.045;38.1;2.44;1982;Voedingsadvertenties;109;185107831;8c0cc97e-1767-4531-966e-0f39cb6e2621;2022-09-16T14:39:56;;;submitted_via_web;vincentsmets;;9;N;;;;;;Bier;De lijn;A;5;A;;
3104;1663327025891.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_10_03\all_voedingsadvertenties_03102022\1663327025891.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F8c0cc97e-1767-4531-966e-0f39cb6e2621%2F1663327025891.jpg;51.2034417 2.903435 42.7 1.55;512.034.417;2.903.435;512.034.417;2.903.435;42.7;1.55;1983;Voedingsadvertenties;109;185107831;8c0cc97e-1767-4531-966e-0f39cb6e2621;2022-09-16T14:39:56;;;submitted_via_web;vincentsmets;;7;N;;;;;1;;Burger king;NA;;NA;;
3105;1663327025891.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_10_03\all_voedingsadvertenties_03102022\1663327025891.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F8c0cc97e-1767-4531-966e-0f39cb6e2621%2F1663327025891.jpg;51.2034417 2.903435 42.7 1.55;512.034.417;2.903.435;512.034.417;2.903.435;42.7;1.55;1983;Voedingsadvertenties;109;185107831;8c0cc97e-1767-4531-966e-0f39cb6e2621;2022-09-16T14:39:56;;;submitted_via_web;vincentsmets;;6;N;;;;;2;Vegetarische burgers;Burger king;14;4;13;E;
