Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6815fcfc967244b949100363,6584452a23ce9a5ec9b7c317,APPROVED,Not Applicable,2025-05-03T11:24:52.271000Z,2025-05-03T11:42:05.461000Z,2025-05-04T09:34:48.555000Z,2025-05-03T11:42:06.002869Z,1034.0,CHJ3VM7X,209,English,24,Female,Mixed,Turkey,Netherlands,Turkey,Turkish,No,Full-Time
6815fd00db1e96bd9f87d554,613233c42e11150d68da93f9,APPROVED,Not Applicable,2025-05-03T11:26:36.431000Z,2025-05-03T11:42:48.963000Z,2025-05-04T09:34:48.792000Z,2025-05-03T11:42:49.490931Z,973.0,CHJ3VM7X,731,"English, French",28,Male,White,France,France,France,French,DATA_EXPIRED,DATA_EXPIRED
6815fd0eec724bedb499c1a6,5f28018b602953062b0bd945,APPROVED,Not Applicable,2025-05-03T11:25:09.228000Z,2025-05-03T11:40:08.609000Z,2025-05-04T09:34:49.057000Z,2025-05-03T11:40:09.157980Z,900.0,CHJ3VM7X,155,"Dutch, English",27,Male,White,Netherlands,Netherlands,Netherlands,Dutch,Yes,Unemployed (and job seeking)
6815fd4fedf127596e19e303,66cc7e5763b912d8c3210627,APPROVED,Not Applicable,2025-05-03T11:30:08.280000Z,2025-05-03T11:49:44.265000Z,2025-05-04T09:34:49.301000Z,2025-05-03T11:49:44.751344Z,1176.0,CHJ3VM7X,140,"Dutch, English",25,Female,White,Netherlands,Netherlands,Netherlands,Dutch,No,Unemployed (and job seeking)
6815fd7bfc3a7770bdff931e,65dcddf73df41cde066da638,APPROVED,Not Applicable,2025-05-03T11:26:51.681000Z,2025-05-03T11:40:57.834000Z,2025-05-04T09:34:49.557000Z,2025-05-03T11:40:58.330282Z,847.0,CHJ3VM7X,365,English,19,Male,Asian,Vietnam,Netherlands,Vietnam,Vietnamese,Yes,Full-Time
6815fd89d01f629e79881fdb,65a2c1313cc27e970219a392,APPROVED,Not Applicable,2025-05-03T11:27:05.075000Z,2025-05-03T11:39:20.891000Z,2025-05-04T09:34:49.802000Z,2025-05-03T11:39:21.390114Z,736.0,CHJ3VM7X,170,"Dutch, English",24,Male,Other,Belgium,Belgium,Belgium,Dutch,Yes,Due to start a new job within the next month
6815fd8a3770a0d484068dea,60d9dfd4dcc09cf57dc92cb1,APPROVED,Not Applicable,2025-05-03T11:27:13.587000Z,2025-05-03T12:18:04.508000Z,2025-05-04T09:34:50.058000Z,2025-05-03T12:18:05.037710Z,3051.0,CHJ3VM7X,722,"English, Other",24,Female,Black,South Africa,France,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
6815fd992a1f5b4109b5d7b7,5d64f820c94fbf0001addee8,APPROVED,Not Applicable,2025-05-03T11:27:54.807000Z,2025-05-03T11:38:36.503000Z,2025-05-04T09:34:50.297000Z,2025-05-03T11:38:37.005224Z,642.0,CHJ3VM7X,1111,"English, French",35,Male,White,France,France,France,French,No,Unemployed (and job seeking)
6815fd9cb1a9bf7bbd8cb13e,66cb42deeb54336ae814054d,APPROVED,Not Applicable,2025-05-03T11:27:24.145000Z,2025-05-03T11:51:40.264000Z,2025-05-04T09:34:50.542000Z,2025-05-03T11:51:40.716976Z,1457.0,CHJ3VM7X,78,English,44,Female,White,Spain,France,Spain,Spanish,Yes,Full-Time
6815fe17051f257d8ab6d6b4,65a2786dae2fdf7313567845,APPROVED,Not Applicable,2025-05-03T11:29:27.636000Z,2025-05-03T11:43:25.966000Z,2025-05-04T09:34:50.796000Z,2025-05-03T11:43:26.497323Z,839.0,CHJ3VM7X,168,English,33,Female,White,France,France,France,French,No,Part-Time
6815fe7237732605012fc6fb,66a0b8db15402d5e1ac01305,APPROVED,Not Applicable,2025-05-03T11:31:22.094000Z,2025-05-03T11:40:47.976000Z,2025-05-04T09:34:51.039000Z,2025-05-03T11:40:48.507229Z,566.0,CHJ3VM7X,89,"English, Dutch",20,Male,Mixed,United Kingdom,Netherlands,Netherlands,English,Yes,Other
